code,name
amath433,Differential Geometry
amath442,Computational Methods for Partial Differential Equations
amath444,Applications of Computational Differential Equations
amath445,Scientific Machine Learning
amath447,Introduction to Symbolic Computation
amath449,Neural Networks
amath451,Introduction to Dynamical Systems
amath453,Partial Differential Equations 2
amath455,Control Theory
amath456,Calculus of Variations
amath463,Fluid Mechanics
amath473,Quantum Theory 2
amath474,Quantum Theory 3: Quantum Information and Foundations
amath475,Introduction to General Relativity
amath477,Stochastic Processes for Applied Mathematics
amath495,Reading Course
amath499,Research Project
amath642,Computational Methods for Partial Differential Equations
amath645,Scientific Machine Learning
amath651,Introduction to Dynamical Systems
amath653,Partial Differential Equations 2
amath655,Control Theory
amath656,Calculus of Variations
amath663,Fluid Mechanics
amath673,Quantum Theory 2
amath674,Quantum Theory 3: Quantum Information and Foundations
amath675,Introduction to General Relativity
amath677,Stochastic Processes for Applied Mathematics
amath690,Literature & Research Studies
amath731,Applied Functional Analysis
amath732,Asymptotic Analysis and Perturbation Theory
amath740,Numerical Analysis
amath741,Numerical Solution of Partial Differential Equations
amath751,Advanced Ordinary Differential Equations
amath753,Advanced Partial Differential Equations
amath777,Stochastic Processes in the Physical Sciences
amath840,Advanced Numerical Methods for Computational and Data Sciences
amath841,Finite Element Methods
amath851,Stability Theory and Applications
amath855,Advanced Systems Analysis and Control
amath863,Hydrodynamic Stability and Turbulence
amath867,Dispersive and Nonlinear Waves
amath871,Quantum Information Processing
amath872,Introduction to Quantum Field Theory for Cosmology
amath873,Introduction to Quantum Field Theory
amath874,Advanced techniques in General Relativity and Applications to Black Holes
amath875,Introduction to General Relativity with Applications to Cosmology
amath876,Open Quantum Systems
amath877,Foundations of Quantum Theory
amath881,Introduction to Mathematical Oncology
amath882,Mathematical Cell Biology
amath900,Topics in Applied Mathematics
anth100,Introduction to Anthropology
anth100w,Cultures Today (WLU)
anth101,Human and Cultural Evolution
anth102,Introduction to Social and Cultural Anthropology
anth103,The Nature of Language
anth105,Prehistoric Peoples and Places
anth106,Technologies of Being Human
anth201,Introduction to Archaeology
anth202,Social and Cultural Anthropology
anth203,The Archaeology of North America
anth204,Biological Anthropology
anth210,Anthropology Through Science Fiction
anth221,Language and Society
anth222,Anthropologies of the Body
anth229,Peoples of Africa
anth230,Native Peoples of Canada
anth233,Inuit Cultures
anth241,Food as Culture
anth245,Anthropology of Education
anth251,Doing Ethnography
anth260,Human Evolution
anth261,Primate Behaviour
anth272,Issues in Contemporary Indigenous Communities in Canada
anth289,Special Topics in Anthropology
anth290,Visual Anthropology
anth292,"Skeletons: Sex, Disease, and Death"
anth300,Practicing Anthropology
anth302,Anthropology of Violence: Political Conflict and Change
anth303,Anthropology of Digital Media
anth305,Paleopathology of Health and Disease
anth309,The Archaeology of North America
anth311,Anthropology of Religion
anth312,Muslim Lives and Practices Worldwide
anth320,Hunter-Gatherer Archaeology
anth321,Archaeology of Complex Cultures
anth322,The Archaeology of the Great Lakes Area
anth326w,Culture as Performance(WLU)
anth330,Environmental Anthropology
anth331,Anthropology of Childhood
anth335,Arctic Archaeology
anth345,Directed Research in Anthropology
anth347,Medical Anthropology
anth348,Anthropology of Tourism
anth350,Anthropology of Gender
anth351,Indigenous Practices & Relations: A Comparative Approach
anth352,Anthropological Thought
anth355,Human Osteology
anth356w,Applied Anthropology (WLU)
anth361,Biocultural Examination of Primate Conservation
anth365,Human Evolution
anth370,Issues in Contemporary Native Communities in Canada
anth371,Anthropological Field Experience
anth372,Archaeological Field School
anth377,Dental Anthropology
anth380,Matrilineal Societies in Aboriginal North America
anth381,Anthropology of South Asia
anth382,Anthropology of East Asia
anth389,Special Topics in Anthropology
anth390a,Reading in Anthropology
anth390b,Reading in Anthropology
anth391,Reading in Anthropology
anth393,Reading in Anthropology
anth395,Anthropological Study Abroad
anth400,Special Topics in Anthropology
anth402,Palestine/Israel: Anthropological Perspectives
anth403,Anthropological Inquiry into the Origin of Language and Cultural Behaviour
anth404,Human Development in a Cross-Cultural Perspective
anth411,Symbolic Anthropology
anth415,Archaeologies of Landscape
anth420,Social and Cultural Change
anth430,Science as Practice and Culture
anth440,Archaeological Analysis and Interpretation
anth447,Global Health and Medical Anthropology
anth455,Skeletal Biology and Forensics
anth460,Human Adaptation and Variation
anth461,Selected Topics in Primate Behaviour
anth465,"Borders, Boundaries, and Crossings"
anth470,Archaeological Field Methods
anth489,Special Topics in Anthropology
anth492a,Reading in Anthropology
anth492b,Reading in Anthropology
anth495,Reading in Anthropology
anth497,Reading in Anthropology
anth498,Anthropology Capstone
anth499a,Honours Essay
anth499b,Honours Essay
anth600,Public Issues Anthropology
anth604,Human Development in a Cross-Cultural Perspective
anth605,Selected Topics in Theory and Research
anth608,Anthropological Theory
anth614,Research Methods
anth647,Global Health and Medical Anthropology
anth655,Skeletal Biology and Forensics
anth659,"Conservation, Communities and Globalization"
anth660,Reading Course
anth661,Research Seminar in Public Issues Anthropology
anth662,Human Adaptation and Evolution
appls205r,Second Language Acquisition
appls291,Introductory Special Topics in Applied Language Studies
appls301,"Language, Culture, and Identity"
appls304r,Language Teaching Methodology
appls306r,Language Assessment and Testing
appls383r,Phonetics
appls391,Intermediate Special Topics in Applied Language Studies
appls491,Advanced Special Topics in Applied Language Studies
arabic101r,Introduction to Arabic 1
arabic102r,Introduction to Arabic 2
arabic120r,Literary Arabic for Heritage Speakers
arabic201r,Intermediate Arabic 1
arabic202r,Intermediate Arabic 2
arabic301r,Advanced Arabic 1
arabic302r,Advanced Arabic 2
arabic410r,English-Arabic Translation
arbus100,Introduction to Arts and Business
arbus101,Introduction to Business in North America
arbus102,Accounting Information for Managers
arbus131,Introduction to Business in North America
arbus200,Entrepreneurship Principles and Practices
arbus201,The Principles of Entrepreneurship
arbus202,Professional and Business Ethics
arbus204,"Leadership, Teams, and Communication"
arbus300,Practical Business Skills
arbus301,International Business
arbus302,Principles of Marketing
arbus303,Marketing Strategy
arbus400,Strategy and Program Integration
arch100,An Introduction to Architecture
arch110,Visual and Digital Media 1
arch113,Visual and Digital Media 2
arch114,Visual Communication 3
arch120,An Introduction to Architectural Ideas and Communications
arch125,Principles of Environmental Design
arch126,Environmental Building Design
arch142,Introduction to Cultural History
arch143,"Settlements, Sanctuaries, and Cities"
arch172,Building Construction 1
arch173,Building Construction 2
arch174,Experimental Course
arch175,Experimental Course
arch192,Design Studio
arch193,Design Studio
arch212,Digital Fabrication
arch215,Communication Design
arch225,Theory and Design of the Contemporary Landscape
arch226,Environmental Building Design
arch243,Indigenous Practices
arch246,Cultural Encounters 600-1600
arch247,Cultural History 4: Renaissance to Revolution
arch248,Cultural Encounters 1600-1914
arch252,Creative Problem Solving
arch256,Introduction to Photography
arch260,Principles of Structures
arch263,Integrated Environmental Systems
arch264,Building Science
arch272,Interior Environments: Acoustics and Lighting
arch273,Environmental Systems
arch274,Experimental Course
arch275,Experimental Course
arch276,"Timber: Design, Structure and Construction"
arch277,"Timber: Design, Structure and Construction for Engineers"
arch284,Architectural Research
arch285,Architectural Research
arch292,Design Studio
arch293,Design Studio
arch313,Advanced Visualization and Analysis
arch314,Digital Design
arch327,Architecture of the Urban Environment
arch328,Approaches to Architecture and Urbanism
arch331,Working with Wood
arch332,Design/Build Workshop
arch342,Modernisms: Local and Global
arch343,"Enlightenment, Romanticism and the 19th Century"
arch345,Architectural Theory 1850-1990
arch346,Competitions in Architecture
arch347,Philosophy in Architecture
arch362,"Steel and Concrete: Design, Structure and Construction"
arch364,Building Science
arch365,Structural Design Build Workshop
arch374,Experimental Course
arch375,Experimental Course
arch384,Architectural Research
arch385,Architectural Research
arch392,Design Studio
arch393,Option Design Studio
arch425,Theory and Design of the Contemporary Landscape
arch428,Rome and the Campagna (Rome)
arch429,Global Cities
arch442,Contemporary Architectural Theory
arch443,Architecture and Film
arch446,Italian Urban History (Rome)
arch448,Rome and the Campagna (Rome)
arch449,The Development of Modern Italian Architecture (Rome)
arch463,Integrated Environmental Systems
arch465,Advanced Structures: Design and Analysis
arch473,Technical Report
arch474,Experimental Course
arch475,Experimental Course
arch484,Architectural Research
arch485,Architectural Research
arch492,Design Studio
arch493,Design Studio/Comprehensive Building Design
arch510,Special Topics in Visual and Digital Media
arch520,Special Topics in Urbanism and Landscape
arch540,Special Topics in Architectural History and Theory
arch570,Special Topics in Building Technology and Environmental
arch580,"Special Topics in Race, Equity, and Environmental Justice"
arch610,Architectural Research and Analysis
arch611,"Drawing, Representation and Practice"
arch612,Originality and Invention in Architecture
arch613,"Light, Colour and Darkness"
arch622,Urban Revitalization & Design
arch623,Ecosystem Design for Urban Landscapes
arch624,The Social Ecology of the Urban Periphery
arch629,Global Cities
arch640,"Contemporary Theory, Culture and Criticism"
arch641,The Inner Studio
arch642,Modernism to the 21st Century
arch643,The Study and Design of Cultural Sites
arch644,"Architecture, Memory and Commemoration"
arch645,Architecture and the State
arch646,Architecture and Film
arch652,Specifications
arch654,Acts and Codes
arch655,"Architectural Professional Practice: Ethics, Business, Legal Issues, and Contract Administration"
arch662,"Steel & Concrete: Design, Structure and Construction"
arch671,Technical Report
arch672,Energy Effective Design
arch673,The Science of the Building Envelope
arch675,Sheltering Systems
arch676,Lightweight Structures
arch677,Survey of Digital Design Technologies for Architecture
arch678,Digital Lighting Design for Architecture
arch684,Special Topics in Architecture
arch685,Readings and Seminars in Architecture
arch686,Competitions in Architecture
arch690,Design Studio
arch691,Design Studio - Comprehensive Building Design
arch692,Thesis Research and Design Studio I
arch693,Thesis Research & Design Studio II
arch710,Special Topics in Visual and Digital Media
arch720,Special Topics in Urbanism and Landscape
arch740,Special Topics in Architectural History and Theory
arch770,Special Topics in Building Technology and Environment
arch780,"Special Topics in Race, Equity, and Environmental Justice"
archl347w,Archaeology of Syria and Jordan
arts101,Foundations for Writing
arts102,Foundations for Writing
arts103,Foundations of Research and Analysis
arts111,Career Development and Decision-Making
arts122,Quest for Meaning in the Modern World
arts125,Who are the Mennonites?
arts130,Inquiry and Communication
arts140,Information and Analysis
arts160,Inquiry and Knowledge Creation
arts160e,Inquiry and Knowledge Creation
arts190,First-Year Topics in Arts Disciplines
arts199,First-Year Seminar
arts280,Statistics for Arts Students
arts290,Second-Year Topics in Arts Disciplines
arts301,Studies in Ideas
arts303,Designing Learning Activities with Interactive Multimedia
arts304,Designing Computer Simulations and Games for Learning
arts365,Arts Study Abroad
arts366,Arts Study Abroad
arts367,Arts Study Abroad
arts390,Third-Year Topics in Arts Disciplines
arts450,Global Engagement Seminar
arts490,Fourth-Year Topics in Arts Disciplines
arts600,Knowledge Mobilzation to Serve Society
arts601,Building Community-University Research Alliances
asl101r,American Sign Language 1
asl102r,American Sign Language 2
asl201r,American Sign Language 3
asl202r,American Sign Language 4
astrn101w,Astronomy I: (WLU)
avia100,Introduction to Aviation
avia101,Professional Pilot Program Course 1
avia102,Professional Pilot Program Course 2
avia121,Professional Pilot Program Course 1
avia141,Preparatory Ground Instruction 1
avia142,Preparatory Ground Instruction 2
avia203,Professional Pilot Program Course 3
avia204,Professional Pilot Program Course 4
avia205,Professional Pilot Program Course 5
avia222,Professional Pilot Program Course 2
avia223,Professional Pilot Program Course 3
avia243,Preparatory Ground Instruction 3
avia244,Preparatory Ground Instruction 4
avia245,Preparatory Ground Instruction 5
avia270,Remotely Piloted Aircraft Systems (RPAS) Knowledge Requirements
avia306,Professional Pilot Program Course 6
avia307,Professional Pilot Program Course 7
avia310,Human Factors in Aviation
avia315,Aviation Sustainability
avia320,Aviation Safety
avia324,Professional Pilot Program Course 4
